Nombre
Lionel Messi
Emiliano Martínez
Nahuel Molina
Cristian Romero
Nicolás Otamendi
Lisandro Martínez
Nicolás Tagliafico
Rodrigo De Paul
Enzo Fernández
Alexis Mac Allister
Julián Álvarez
Lautaro Martínez
Alejandro Garnacho
Paulo Dybala
Gonzalo Montiel
Leandro Paredes
Giovani Lo Celso
Exequiel Palacios
Marcos Acuña
Gerónimo Rulli
Kylian Mbappé
Antoine Griezmann
Mike Maignan
Jules Koundé
Dayot Upamecano
William Saliba
Theo Hernández
Aurélien Tchouaméni
Eduardo Camavinga
Adrien Rabiot
Ousmane Dembélé
Marcus Thuram
Kingsley Coman
Ibrahima Konaté
Benjamin Pavard
Ferland Mendy
Randal Kolo Muani
Warren Zaïre-Emery
Alphonse Areola
Bradley Barcola
Vinícius Júnior
Rodrygo
Alisson Becker
Ederson Moraes
Marquinhos
Éder Militão
Gabriel Magalhães
Danilo
Guilherme Arana
Casemiro
Bruno Guimarães
Lucas Paquetá
Raphinha
Endrick
Gabriel Martinelli
Douglas Luiz
João Gomes
Yan Couto
Savinho
Andreas Pereira
Harry Kane
Jude Bellingham
Jordan Pickford
Kyle Walker
John Stones
Marc Guéhi
Kieran Trippier
Declan Rice
Kobbie Mainoo
Phil Foden
Bukayo Saka
Trent Alexander-Arnold
Cole Palmer
Ollie Watkins
Ivan Toney
Eberechi Eze
Jarrod Bowen
Luke Shaw
Anthony Gordon
Aaron Ramsdale
Rodri
Lamine Yamal
Nico Williams
Unai Simón
Dani Carvajal
Robin Le Normand
Aymeric Laporte
Marc Cucurella
Fabián Ruiz
Pedri
Dani Olmo
Álvaro Morata
Mikel Oyarzabal
Ferran Torres
Martín Zubimendi
Mikel Merino
Alejandro Grimaldo
Jesús Navas
David Raya
Joselu
Jamal Musiala
Florian Wirtz
Manuel Neuer
Joshua Kimmich
Antonio Rüdiger
Jonathan Tah
Maximilian Mittelstädt
Toni Kroos
Robert Andrich
İlkay Gündoğan
Kai Havertz
Leroy Sané
Niclas Füllkrug
Thomas Müller
David Raum
Nico Schlotterbeck
Marc-André ter Stegen
Pascal Groß
Chris Führich
Maximilian Beier
Cristiano Ronaldo
Bruno Fernandes
Bernardo Silva
Diogo Costa
João Cancelo
Rúben Dias
Pepe
Nuno Mendes
Vitinha
João Palhinha
Rafael Leão
Diogo Jota
João Félix
Gonçalo Ramos
Diogo Dalot
Gonçalo Inácio
António Silva
Rúben Neves
Pedro Neto
Rui Patrício
Virgil van Dijk
Cody Gakpo
Xavi Simons
Bart Verbruggen
Denzel Dumfries
Stefan de Vrij
Nathan Aké
Tijjani Reijnders
Jerdy Schouten
Joey Veerman
Memphis Depay
Wout Weghorst
Donyell Malen
Jeremie Frimpong
Micky van de Ven
Matthijs de Ligt
Frenkie de Jong
Teun Koopmeiners
Brian Brobbey
Mark Flekken
Gianluigi Donnarumma
Nicolò Barella
Federico Chiesa
Giovanni Di Lorenzo
Alessandro Bastoni
Riccardo Calafiori
Federico Dimarco
Jorginho
Davide Frattesi
Lorenzo Pellegrini
Gianluca Scamacca
Mateo Retegui
Mattia Zaccagni
Giacomo Raspadori
Alessandro Buongiorno
Matteo Darmian
Gianluca Mancini
Bryan Cristante
Stephan El Shaarawy
Guglielmo Vicario
Kevin De Bruyne
Romelu Lukaku
Jérémy Doku
Koen Casteels
Timothy Castagne
Wout Faes
Jan Vertonghen
Arthur Theate
Amadou Onana
Youri Tielemans
Leandro Trossard
Yannick Carrasco
Johan Bakayoko
Loïs Openda
Dodi Lukebakio
Orel Mangala
